year,month,price
2018,1,2.555
2018,2,2.587
2018,3,2.591
2018,4,2.757
2018,5,2.901
2018,6,2.891
2018,7,2.849
2018,8,2.836
2018,9,2.836
2018,10,2.86
2018,11,2.647
2018,12,2.366
2019,1,2.248
2019,2,2.309
2019,3,2.516
2019,4,2.798
2019,5,2.859
2019,6,2.716
2019,7,2.74
2019,8,2.621
2019,9,2.592
2019,10,2.627
2019,11,2.598
2019,12,2.555
2020,1,2.548
2020,2,2.442
2020,3,2.234
2020,4,1.841
2020,5,1.87
2020,6,2.082
2020,7,2.183
2020,8,2.182
2020,9,2.183
2020,10,2.158
2020,11,2.108
2020,12,2.195
2021,1,2.334
2021,2,2.501
2021,3,2.81
2021,4,2.858
2021,5,2.985
2021,6,3.064
2021,7,3.136
2021,8,3.158
2021,9,3.175
2021,10,3.291
2021,11,3.395
2021,12,3.307
2022,1,3.315
2022,2,3.517
2022,3,4.222
2022,4,4.109
2022,5,4.444
2022,6,4.929
2022,7,4.559
2022,8,3.975
2022,9,3.7
2022,10,3.815
2022,11,3.685
2022,12,3.21