year,month,sales_before,sales_next,sales
2018,1,758000,779000,21000
2018,2,779000,790000,11000
2018,3,790000,815000,25000
2018,4,815000,843000,28000
2018,5,843000,858000,15000
2018,6,858000,888000,30000
2018,7,888000,902000,14000
2018,8,902000,934000,32000
2018,9,934000,974000,40000
2018,10,974000,1003000,29000
2018,11,1003000,1049000,46000
2018,12,1049000,1092000,43000
2019,1,1092000,1120000,28000
2019,2,1120000,1140000,20000
2019,3,1140000,1160000,20000
2019,4,1160000,1190000,30000
2019,5,1190000,1218000,28000
2019,6,1218000,1257000,39000
2019,7,1257000,1283000,26000
2019,8,1283000,1304000,21000
2019,9,1304000,1335000,31000
2019,10,1335000,1356000,21000
2019,11,1356000,1370000,14000
2019,12,1370000,1412000,42000
2020,1,1412000,1439000,27000
2020,2,1439000,1451000,12000
2020,3,1451000,1481000,30000
2020,4,1481000,1489000,8000
2020,5,1489000,1499000,10000
2020,6,1499000,1520000,21000
2020,7,1520000,1545000,25000
2020,8,1545000,1578000,33000
2020,9,1578000,1609000,31000
2020,10,1609000,1643000,34000
2020,11,1643000,1680000,37000
2020,12,1680000,1711000,31000
2021,1,1711000,1742000,31000
2021,2,1742000,1763000,21000
2021,3,1763000,1834000,71000
2021,4,1834000,1895000,61000
2021,5,1895000,1942000,47000
2021,6,1942000,1999000,57000
2021,7,1999000,2052000,53000
2021,8,2052000,2108000,56000
2021,9,2108000,2156000,48000
2021,10,2156000,2222000,66000
2021,11,2222000,2287000,65000
2021,12,2287000,2334000,47000
2022,1,2334000,2401000,67000
2022,2,2401000,2463000,62000
2022,3,2468000,2541000,73000
2022,4,2541000,2623000,82000
2022,5,2623000,2690000,67000
2022,6,2690000,2781000,91000
2022,7,2781000,2833000,52000
2022,8,2843000,2911000,68000
2022,9,2921000,3008000,87000
2022,10,3008000,3092000,84000
2022,11,3092000,3172000,80000
2022,12,3182000,3245000,63000